Country,Wins,Runnerup,Total,Lat,Lon,Years
 Brazil,5,2,7,-14.235,-51.9253,"1958, 1962, 1970, 1994, 2002"
 Germany,4,4,8,51.1657,10.4515,"1954, 1974, 1990, 2014"
 Italy,4,2,6,41.8719,12.5674,"1934, 1938, 1982,  2006"
 Argentina,2,3,5,-38.4161,-63.6167,"1978, 1986"
 Uruguay,2,0,2,-32.5228,-55.7658,"1930, 1950"
 France,1,1,2,46.2276,2.2137,1998
 England,1,0,1,51.5074,0.1278,1966
 Spain,1,0,1,40.4637,-2.7492,2010
 Netherlands,0,3,3,52.1326,5.2913,
 Czechoslovakia,0,2,2,49.8175,15.473,
 Hungary,0,2,2,47.1625,19.5033,
 Sweden,0,1,1,60.1282,16.6435,
